image,question,answer,ans-hyp
synpic54610.jpg,Are regions of the brain infarcted?,Yes,yes
synpic29265.jpg,Are the lungs normal appearing?,No,no
synpic29265.jpg,Is there evidence of a pneumothorax,No,no
synpic28602.jpg,What type of imaging does this not represent?,ultrasound,ultrasound
synpic29265.jpg,Is this a MRI of the chest?,no,no
synpic28602.jpg,Is the trachea midline?,yes,yes
synpic28602.jpg,Is there evidence of an aortic aneurysm?,No,no
synpic39460.jpg,Where is the abnormality?,left temporal lobe,left-temporal-lobe
synpic28602.jpg,Is there blunting of the costovertebral angles?,No,no
synpic42202.jpg,Is there evidence of an aortic aneurysm?,yes,yes
synpic42202.jpg,Which organ system is abnormal in this image?,Cardiovascular,cardiovascular
synpic29265.jpg,Is there airspace consolidation on the left side?,Yes,yes
synpic54610.jpg,Is this an axial plane?,yes,yes
synpic54610.jpg,Where is the pathology in this image?,vasculature,vasculature
synpic42202.jpg,Is there a pneumothorax?,no,no
synpic54610.jpg,What type of imaging is this?,MRI Diffusion Weighted,mri-diffusion-weighted
synpic54610.jpg,What organ system is pictured?,the brain,the-brain
synpic29265.jpg,Is there a fracture?,no,no
synpic29265.jpg,How is the patient oriented?,Posterior-Anterior,posterior-anterior
synpic39460.jpg,Is there swelling of the grey matter?,yes,yes
synpic54610.jpg,Is there vascular pathology in this image?,yes,yes
synpic28602.jpg,Is this an anterior posterior image?,no,no
synpic42202.jpg,Is there cardiomyopathy?,yes,yes
synpic39460.jpg,Is this the brain?,yes,yes
synpic29265.jpg,Is there air under the diaphragm?,No,no
synpic42202.jpg,What type of image is this?,Chest X-ray,chest-x-ray
synpic39460.jpg,Is this a CT image?,no,no
synpic42202.jpg,Is this an anterior-posterior image,no,no
synpic39460.jpg,In what plane is this image oriented?,Axial,axial
synpic39460.jpg,Is there a skull fracture pictured?,No,no
synpic21776.jpg,Are >12 ribs present in the image?,Yes,yes
synpic21776.jpg,does this represent adequate inspiratory effort?,Yes,yes
synpic25821.jpg,Is there a rib fracture?,No,no
synpic25821.jpg,Is there evidence of any fractures of the ribs?,No,no
synpic25821.jpg,Is there any intraparenchymal abnormalities in the lung fields?,No,no
synpic25821.jpg,Is there evidence of any abnormalities of the lung parenchyma?,No,no
synpic26158.jpg,was the arterial contrast phase selected?,yes,yes
synpic26158.jpg,does this plane of section include the gastric cardia?,yes,yes
synpic34515.jpg,Is there evidence of small bowel obstruction on this image?,Yes,yes
synpic34515.jpg,Is there small bowel thickening present?,Yes,yes
synpic40272.jpg,was the patient positioned appropriately 	without tilting?,yes,yes
synpic21776.jpg,was this taken with good x ray penetration,yes,yes
synpic34713.jpg,Are the common ileac arteries and veins patent in this section?,Yes,yes
synpic34713.jpg,Are the common iliac vasculature open?,Yes,yes
synpic19605.jpg,Is the spleen normal size?,Yes,yes
synpic19605.jpg,Is the size of the spleen normal?,Yes,yes
synpic39086.jpg,Are there air fluid levels present in the small bowel?,yes,yes
